District,Total_Population,Total_Male,Total_Female,Literate_Population,Illiterate_Population
WEST BENGAL,91276115,46809027,44467088,61538281,29737834
Darjiling,1846823,937259,909564,1315585,531238
Jalpaiguri,3872846,1983064,1889782,2498780,1374066
Koch Bihar,2819086,1451542,1367544,1850504,968582
Uttar Dinajpur,3007134,1551066,1456068,1489667,1517467
Dakshin Dinajpur,1676276,857199,819077,1083685,592591
Maldah,3988845,2051541,1937304,2086432,1902413
Murshidabad,7103807,3627564,3476243,4055834,3047973
Birbhum,3502404,1790920,1711484,2158447,1343957
Bardhaman,7717563,3966889,3750674,5247208,2470355
Nadia,5167600,2653768,2513832,3480555,1687045
North Twenty Four Parganas,10009781,5119389,4890392,7608693,2401088
Hugli,5519145,2814653,2704492,4078388,1440757
Bankura,3596674,1838095,1758579,2232992,1363682
Puruliya,2930115,1496996,1433119,1624905,1305210
Hawrah,4850029,2500819,2349210,3605206,1244823
Kolkata,4496694,2356766,2139928,3588137,908557
South Twenty Four Parganas,8161961,4173778,3988183,5531657,2630304
Paschim Medinipur,5913457,3007885,2905572,4078412,1835045
Purba Medinipur,5095875,2629834,2466041,3923194,1172681
